Sort,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
141,,counttell 05-2,1069,1,0.5,5,79,20,-59,Level A
142,,ateo 01,955,1,1,3,59,0,-59,Level A
143,,jdear 07,962,2,2,3,93,33,-60,Level B
144,,PravinMamania 04,1041,3,2,45,89,29,-60,Level A
145,,JFolla 07,1086,1,1,22,116,55,-61,Level C
146,,PeonAzul 07,1227,2,2,3,94,33,-61,Level A
147,,HOOT 02,860,1,1,14,90,29,-61,Level A
148,,Kinkajou 05-1,872,1,1,5,81,20,-61,Level A
149,,bsliced 06,1161,1,1,4,112,50,-62,Level A
150,,youngrower 05-1,910,3,2,23,97,35,-62,Level B
151,,shadowroy 07,1110,1,1,9,119,56,-63,Level A
152,,mwebber 07,998,1,0,18,113,50,-63,Level B
153,,divcat 07,1069,2,1,27,111,48,-63,Level B
154,,abeme 03,855,1,1,11,90,27,-63,Level A
155,,lksharma 06,1256,2,2,17,81,18,-63,Level A
156,,freetraderbeowolf 06,961,1,1,6,114,50,-64,Level A
157,,doomie 06,873,1,1,17,111,47,-64,Level B
158,,OldWazzaBoy 07,980,1,1,10,104,40,-64,Level B
159,,AceDiamond 03,990,1,1,21,93,29,-64,Level A
160,,tereliza 07,1102,2,2,42,108,43,-65,Level B
161,,TheBuzzard 07,1220,1,1,5,105,40,-65,Level A
162,,jashevan 05-2,1088,1,1,19,97,32,-65,Level B
163,,spiZ 04,1047,1,1,26,112,46,-66,Level B
164,,astronomyguy 05-2,1124,1,1,27,110,44,-66,Level A
165,,Kestreall 07,1023,1,1,49,109,43,-66,Level A
166,,tujhbq 06,933,2,2,52,106,40,-66,Level B
167,,abcc 06,1083,1,0,42,102,36,-66,Level A
168,,perfectloop 07,1186,1,1,11,102,36,-66,Level A
169,,Thorstein 06,957,1,1,5,127,60,-67,Level A
170,,tunacem 06,920,1,1,13,113,46,-67,Level B
171,,bullrock 07,1131,2,1,40,99,32,-67,Level A
172,,shahar 07,1102,1,1,33,91,24,-67,Level A
173,,supertintin 04,1229,1,0.5,69,117,49,-68,Level C
174,,telaviv 04,1035,2,1,60,110,42,-68,Level A
175,,TusharAmba 07,1118,2,2,41,107,39,-68,Level A
176,,faldur 04,1102,1,1,24,106,38,-68,Level A
177,,shadyKnight 07,1001,2,2,38,105,37,-68,Level A
178,,wreckncrew 05-1,896,1,1,13,99,31,-68,Level A
179,,Fitzakarle 03,907,3,1,124,96,28,-68,Level A
180,,ASABOTO 04,1092,1,1,28,115,46,-69,Level B
181,,caleas 02,1021,1,1,19,106,37,-69,Level A
182,,karimniemela 07,833,1,1,11,105,36,-69,Level A
183,,kyleelhs 07,944,1,1,17,104,35,-69,Level A
184,,racinebaby 06,1125,1,1,12,94,25,-69,Level A
185,,bandwagon 07,1182,1,1,4,120,50,-70,Level B
186,,danielp 06,1087,1,1,20,115,45,-70,Level C
187,,LithFlash 07,1099,2,2,22,115,45,-70,Level B
188,,Bbbumpy 07,908,1,1,20,115,45,-70,Level B
189,,justhoff 07,1000,2,1,46,107,37,-70,Level A
190,,Rhiannontg 05-1,1068,1,0,12,103,33,-70,Level B
191,,Melko 04,990,1,1,8,146,75,-71,Level B
192,,ChessProzac 00,974,2,1,22,103,32,-71,Level A
193,,andermec 06,900,1,1,17,107,35,-72,Level A
194,,kevinoc 07,935,3,1.5,61,106,33,-73,Level A
195,,merka 05-1,810,1,0,41,93,20,-73,Level A
196,,ewrosenthal 06,1133,3,3,20,129,55,-74,Level C
197,,tyfoonturk 07,1030,2,2,21,107,33,-74,Level A
198,,yihan 02,948,2,2,40,106,32,-74,Level A
199,,netbrain 07,1072,2,2,9,96,22,-74,Level A
200,,paperchasdvincent 07,969,1,1,6,91,17,-74,Level A
201,,pddchess 07,1076,1,1,1,74,0,-74,Level A
202,,jessmoll 05-2,1009,1,1,52,119,44,-75,Level A
203,,richarddixon 07,917,1,1,19,117,42,-75,Level A
204,,Carmeliaz 07,904,1,1,5,115,40,-75,Level A
205,,BlackCavy 03,1011,1,1,5,95,20,-75,Level A
206,,Homki 05-1,1065,1,1,10,85,10,-75,Level A
207,,hbengts 06,973,1,1,22,109,32,-77,Level A
208,,jrico 05-2,1086,1,1,16,96,19,-77,Level A
209,,SergB 06,1153,1,1,37,124,46,-78,Level B
210,,aGameofChess 07,1122,1,1,9,122,44,-78,Level A
211,,PhoenixRedOne 07,1199,1,0,38,110,32,-78,Level A
212,,rdubs 07,1067,1,1,20,108,30,-78,Level A
213,,ninox 06,999,3,2,68,106,28,-78,Level A
214,,zzzsah 07,1011,2,2,19,104,26,-78,Level A
215,,sirkillalot 03,1071,1,1,7,122,43,-79,Level A
216,,ignacionf 07,1046,1,1,15,119,40,-79,Level A
217,,giles 00,888,1,1,15,99,20,-79,Level A
218,,uvrays 06,832,6,3,109,113,33,-80,Level A
219,,hotwheela 07,937,5,5,82,112,32,-80,Level B
220,,SkyReaper 06,834,1,1,10,110,30,-80,Level A
221,,rochon 05-2,909,2,1,55,125,44,-81,Level B
222,,electronf 07,952,3,3,64,122,41,-81,Level A
223,,younder 02,920,1,0,18,114,33,-81,Level A
224,,wavewave 06,1168,1,1,23,111,30,-81,Level A
225,,rnajerac 05-2,951,2,1,55,127,45,-82,Level B
226,,WarlordNatick 05-2,1117,1,1,18,140,56,-84,Level B
227,,mrschultz 07,878,2,0,9,128,44,-84,Level A
228,,LOZO 05-2,987,1,0,48,122,38,-84,Level A
229,,hwqa 04,1055,1,1,9,117,33,-84,Level A
230,,drekec 06,993,1,1,6,117,33,-84,Level A
231,,ChessRio 06,904,3,1,27,114,30,-84,Level A
232,,talleyman 07,1184,2,2,41,124,39,-85,Level B
233,,TheJudgeSarov 07,1070,1,1,7,115,29,-86,Level A
234,,Nassor 05-2,1055,3,1,83,128,41,-87,Level A
235,,PiNNO 03,850,1,1,6,120,33,-87,Level A
236,,Chessword 06,988,1,1,6,120,33,-87,Level A
237,,yanto 04,995,1,1,23,113,26,-87,Level B
238,,MTSimkus 05-2,969,1,0,20,112,25,-87,Level A
239,,KyleYoung 07,1048,1,1,7,131,43,-88,Level A
240,,GolfBob 06,926,2,1,35,125,37,-88,Level B
241,,shipwrecked 05-1,954,1,0,30,132,43,-89,Level A
242,,konovalov 01,1313,1,1,10,129,40,-89,Level A
243,,churningpigskin 03,889,3,0,34,127,38,-89,Level A
244,,alexserrano 07,1181,3,3,12,132,42,-90,Level B
245,,Caledonian 07,848,2,0.5,59,129,39,-90,Level A
246,,Parne 04,1075,1,0,13,137,46,-91,Level B
247,,mcavoy 04,1064,1,1,20,131,40,-91,Level A
248,,Laddie 02,1016,4,2,28,127,36,-91,Level A
249,,DHamm 07,878,3,2,73,136,44,-92,Level A
250,,NRking 06,1138,2,1,38,131,39,-92,Level A
251,,pocheptsoff 05-1,1046,2,2,22,124,32,-92,Level A
252,,HZI 07,976,1,1,7,121,29,-92,Level A
253,,fuss 04,992,1,1,17,121,29,-92,Level A
254,,DSSagent 03,992,2,2,25,137,44,-93,Level B
255,,IIpawnII 00,750,5,4,112,127,34,-93,Level A
256,,BlondBabe 07,1093,1,1,6,126,33,-93,Level A
257,,timothyschmid 07,946,5,2.5,64,133,39,-94,Level A
258,,superpete 07,1229,1,1,4,119,25,-94,Level A
259,,talkymeat 05-1,909,1,0,16,158,63,-95,Level B
260,,paloloco 07,1084,1,1,13,149,54,-95,Level B
261,,subwoofer 06,1092,1,1,9,139,44,-95,Level A
262,,blingking 07,1069,3,3,66,133,38,-95,Level A
263,,willcarter 06,1027,1,1,24,134,38,-96,Level B
264,,Refry 07,932,2,1.5,47,134,38,-96,Level A
265,,owlman 02,1039,1,1,43,110,14,-96,Level A
266,,WhiteSide 07,870,2,1,33,121,24,-97,Level A
267,,sibil 04,1095,3,2,28,134,36,-98,Level A
268,,fishel 07,1000,1,1,16,117,19,-98,Level A
269,,Feyne 05-1,1108,2,1.5,3,98,0,-98,Level A
270,,finsfan 06,883,2,0.5,5,139,40,-99,Level A
271,,pendragonz 03,1031,2,1.5,41,138,39,-99,Level A
272,,Babnet 07,975,1,1,33,138,39,-99,Level A
273,,franciscotlima 05-2,993,1,0,16,137,38,-99,Level B
274,,Doragon 07,877,2,0.5,24,136,37,-99,Level B
275,,RoKStAR 07,902,1,1,21,132,33,-99,Level A
276,,Malca 06,1046,2,1,64,130,31,-99,Level A
277,,jmgamber 06,1226,1,1,11,126,27,-99,Level B
278,,ELMC 06,1057,1,0,23,116,17,-99,Level A
279,,Playlight 00,1142,1,1,55,144,44,-100,Level A
280,,TLorD 05-1,961,3,2,59,142,42,-100,Level A
281,,NiceEvent 07,947,2,0,64,142,42,-100,Level A
282,,claudiolozea 03,1132,2,2,23,139,39,-100,Level A
283,,lordcyrix 07,967,4,2,71,134,34,-100,Level A
284,,Chrisasdf 07,976,2,1,27,126,26,-100,Level A
285,,zLORDz 06,1060,1,1,5,120,20,-100,Level A
286,,PIONPAGO 06,931,6,4.5,93,143,42,-101,Level B
287,,Bolders 07,1102,1,1,39,140,39,-101,Level A
288,,Boldrig 07,984,1,1,12,134,33,-101,Level A
289,,MSmarques 07,1048,1,1,11,128,27,-101,Level A
290,,rockchalk 04,1082,1,1,4,126,25,-101,Level A
291,,SaltzLynnMa 06,1085,2,1.5,52,144,42,-102,Level A
292,,chesscoolman 07,1025,2,2,29,136,34,-102,Level A
293,,Aydo 07,1052,6,5.5,67,135,33,-102,Level A
294,,LzVandy 07,985,1,1,8,153,50,-103,Level A
295,,bigouden 06,1022,2,0,55,140,36,-104,Level A
296,,luming 07,920,1,0,23,134,30,-104,Level B
297,,Depi 07,971,2,2,20,129,25,-104,Level A
298,,herrahuu 07,853,2,1,45,149,44,-105,Level C
299,,Chronoscepter 99,799,2,0,24,147,42,-105,Level A
300,,Intredcode 05-1,948,1,1,5,145,40,-105,Level A
301,,drewly 07,1187,2,2,18,144,39,-105,Level A
302,,Shadax 05-1,969,2,1,30,142,37,-105,Level A
303,,Folinsbee 04,941,2,1,29,140,35,-105,Level A
304,,oubobcat 06,841,3,2,61,135,30,-105,Level A
305,,petergriffin 06,873,4,3,82,133,28,-105,Level A
306,,pezzissimo 05-1,910,2,0.5,106,132,27,-105,Level A
307,,OboeDeity 05-1,929,3,2,46,131,26,-105,Level A
308,,JasperGreene 06,1087,1,0.5,47,131,26,-105,Level A
309,,Tycew 07,702,6,4,61,140,34,-106,Level A
310,,WardBurtonfan 03,892,3,1,42,137,31,-106,Level A
311,,KarstenBlom 06,1063,1,0,11,143,36,-107,Level B
312,,iascrazyorioles 06,954,3,2,63,137,30,-107,Level A
313,,LuckyG 06,1053,1,1,20,137,30,-107,Level A
314,,bigrustynail 07,919,2,2,18,129,22,-107,Level A
315,,Sansui 07,1106,1,0,39,141,33,-108,Level B
316,,Guuyver 02,817,2,0,72,139,31,-108,Level A
317,,voetbalfan 04,968,6,4,36,140,31,-109,Level A
318,,WilliamJ 07,865,1,1,17,138,29,-109,Level A
319,,puzzledmindLady 05-2,1022,1,1,8,134,25,-109,Level A
320,,owenbagge 02,943,3,2,20,145,35,-110,Level A
321,,Halfman 06,882,23,11,365,142,32,-110,Level A
322,,fabras 07,1114,1,1,23,140,30,-110,Level A
323,,Marcellov 07,846,1,1,7,139,29,-110,Level A
324,,MajorNerd 07,1021,4,0,18,132,22,-110,Level A
325,,ellieuk 07,1003,1,1,19,158,47,-111,Level B
326,,Vox 04,806,1,1,12,145,33,-112,Level A
327,,Xillion 06,1049,1,1,17,141,29,-112,Level A
328,,SixteenCorners 07,965,4,3,49,141,29,-112,Level A
329,,Ratamacue 07,873,1,0,27,131,19,-112,Level A
330,,OwenDeathstalker 04,968,1,1,20,158,45,-113,Level B
331,,himmelsgrau 07,833,1,1,29,151,38,-113,Level A
332,,gnutz 00,855,1,1,48,140,27,-113,Level A
333,,Stolpy 06,1160,1,1,2,164,50,-114,Level A
334,,waynerooneyfan 07,1185,1,1,22,160,46,-114,Level C
335,,BoardBoy 03,1024,8,6.5,131,149,35,-114,Level A
336,,garethcash 05-1,1003,9,6,202,146,32,-114,Level A
337,,azaluski 07,1123,1,1,23,140,26,-114,Level A
338,,Auerweck 01,850,1,1,37,138,24,-114,Level A
339,,ThomasPace 07,1068,1,1,12,131,17,-114,Level A
340,,pohlie 05-1,953,2,2,40,150,35,-115,Level A
341,,zukerro 04,932,2,1,12,148,33,-115,Level A
342,,Krandall 06,978,2,1,45,144,29,-115,Level A
343,,bosamor 07,1019,1,1,11,142,27,-115,Level A
344,,marcuscole 06,884,7,4,149,152,36,-116,Level A
345,,netbrain 06,1043,1,1,29,147,31,-116,Level A
346,,BjornGrimskull 07,887,1,1,4,141,25,-116,Level A
347,,dbalparda 06,991,3,2,46,152,35,-117,Level A
348,,TrumpetJedi 07,1021,1,1,23,152,35,-117,Level A
349,,Armoral 04,1029,1,0,15,150,33,-117,Level A
350,,jjmieres 07,1047,1,0,21,146,29,-117,Level A
351,,ItIsLife 06,943,1,1,19,138,21,-117,Level A
352,,peihan 07,1108,5,4.5,88,148,30,-118,Level A
353,,Halfman 07,1061,2,1,29,146,28,-118,Level A
354,,aGameofChess 06,1111,1,0,15,138,20,-118,Level A
355,,sammyCmtww 04,809,6,4,68,153,34,-119,Level A
356,,Dkling 06,987,5,1.5,95,152,33,-119,Level A
357,,prettydarnbad 07,782,1,0,21,152,33,-119,Level C
358,,juansebastian 07,997,4,1,25,160,40,-120,Level A
359,,shawny 07,959,1,1,8,145,25,-120,Level A
360,,Panzulo 06,844,1,0,21,159,38,-121,Level A
361,,whitelighter 07,925,17,8,273,154,33,-121,Level A
362,,Oldskewlphool 07,1156,1,0.5,13,152,31,-121,Level A
363,,steventhenoob 07,1072,5,4,43,149,28,-121,Level A
364,,ddurden 07,1122,2,2,22,144,23,-121,Level A
365,,SJWilson 03,999,1,0,1,122,0,-122,Level A
366,,johnoleary 05-1,1044,1,1,18,167,44,-123,Level B
367,,Darvster 07,962,3,1,19,165,42,-123,Level A
368,,GatorWarrior 07,1092,9,8.5,174,149,26,-123,Level A
369,,thess 07,869,3,2,85,163,39,-124,Level A
370,,pollbellini 05-2,952,1,1,11,142,18,-124,Level A
371,,dustbuni 07,1009,1,1,26,164,39,-125,Level B
372,,Turtleskies 04,891,1,1,14,161,36,-125,Level A
373,,BothFeet 05-1,958,1,0.5,24,158,33,-125,Level A
374,,azshtrdude 05-2,881,1,1,16,156,31,-125,Level A
375,,MasterGilly 07,967,1,0,11,152,27,-125,Level A
376,,mcmurray 07,898,3,0,11,152,27,-125,Level A
377,,olzie 05-1,1031,1,1,12,150,25,-125,Level A
378,,pohlie 05-2,1045,1,1,26,161,35,-126,Level A
379,,vismaior 06,947,2,1.5,36,159,33,-126,Level A
380,,KnightLightning 06,956,2,0.5,54,156,30,-126,Level A
381,,vibronic 04,931,1,1,15,146,20,-126,Level A
382,,AntidOto 07,1071,2,0,12,160,33,-127,Level A
383,,unclebaal 05-2,1081,1,0,45,158,31,-127,Level B
384,,guilut 07,1085,2,2,30,154,27,-127,Level A
385,,NYTahiti 07,1151,1,1,12,170,42,-128,Level A
386,,Zevix 07,964,2,1,61,169,41,-128,Level A
387,,ShawnStanley 07,1038,2,2,17,169,41,-128,Level A
388,,Syrik 07,1110,8,8,65,163,35,-128,Level A
389,,GolfBob 07,968,1,1,24,157,29,-128,Level A
390,,pezzissimo 05-2,879,1,0,23,173,44,-129,Level A
391,,IOMatrix 01,1137,1,0,36,162,33,-129,Level A
392,,harrypotar 06,820,1,0,12,162,33,-129,Level A
393,,ippat 07,1042,5,3.5,65,154,25,-129,Level A
394,,GolfBob 05-2,1016,1,0,17,153,24,-129,Level A
395,,stdonn 06,1097,1,1,15,142,13,-129,Level A
396,,JorgeAdRomero 06,1028,1,0,20,165,35,-130,Level A
397,,Elrocks 06,764,1,0,11,157,27,-130,Level B
398,,olinebeefs 06,1089,6,3,81,166,35,-131,Level A
399,,infernonk 07,860,2,2,38,163,32,-131,Level A
400,,Dakel 07,907,3,1,40,158,27,-131,Level A
401,,dardanus 03,1134,1,0,20,151,20,-131,Level A
402,,thepirate 07,1173,1,1,11,149,18,-131,Level B
403,,dberryco 07,1024,2,2,5,172,40,-132,Level A
404,,celcius 06,1050,1,1,6,165,33,-132,Level A
405,,Knighter 00,899,23,11,456,162,29,-133,Level A
406,,Kyobutungi 05-1,1043,6,3.5,160,161,28,-133,Level A
407,,nicknator 06,1050,1,1,9,155,22,-133,Level A
408,,Ureshii 04,908,1,1,18,144,11,-133,Level A
409,,Artmachine 07,1075,13,9.5,132,167,33,-134,Level A
410,,CaptainWeirdo 07,1038,6,2.5,29,165,31,-134,Level A
411,,wwdotti 05-2,970,5,4,39,162,28,-134,Level A
412,,agathea 06,988,1,1,16,159,25,-134,Level A
413,,MrBogs 07,1002,1,1,5,154,20,-134,Level A
414,,emorej 07,885,1,0,16,179,44,-135,Level A
415,,TheCardinal 06,1052,1,1,15,162,27,-135,Level A
416,,ZeroKool 00,914,1,0,26,158,23,-135,Level A
417,,Youngturks 07,835,1,0,16,186,50,-136,Level B
418,,DuncanRDG 07,970,1,0,55,172,36,-136,Level A
419,,MischiMaestro 05-1,999,7,5,83,171,35,-136,Level A
420,,cecilieh 07,1080,1,1,19,168,32,-136,Level A
421,,shahar 06,900,1,1,20,161,25,-136,Level A
422,,ModestNihilist 05-2,948,1,1,13,159,23,-136,Level A
423,,giannhsk 05-1,897,3,0,25,178,40,-138,Level A
424,,luoyun 07,964,4,2,75,169,31,-138,Level A
425,,Kwela 07,740,1,1,40,153,15,-138,Level A
426,,rooktakesqueen 07,1098,1,1,5,179,40,-139,Level A
