Name,Rating,Games,Result,Moves,CPL,MM,Sort Score,Analysis
Anders Livner,2281,6,4.0,229,31,54,23,D
Pia Cramling,2524,9,6.5,233,28,61,33,A
Pia Cramling,2524,9,6.5,233,23,68,45,C
Pia Cramling,2524,9,6.5,233,22,65,43,D
David Berczes,2429,9,6.5,247,36,57,21,A
David Berczes,2429,9,6.5,247,31,59,28,B
David Berczes,2429,9,6.5,247,30,61,31,C
David Berczes,2429,9,6.5,247,30,59,29,D
Lars Bo Hansen,2576,9,5.5,375,35,56,21,A
Lars Bo Hansen,2576,9,5.5,375,33,53,20,B
Lars Bo Hansen,2576,9,5.5,375,28,56,28,C
Lars Bo Hansen,2576,9,5.5,375,27,57,30,D
Victor Nithander,2339,8,4.0,318,37,50,13,A
Victor Nithander,2339,8,4.0,318,31,53,22,B
Victor Nithander,2339,8,4.0,318,34,51,17,C
Victor Nithander,2339,8,4.0,318,36,49,13,D
Mikael Naslund,2310,4,1.0,149,54,52,-2,A
Mikael Naslund,2310,4,1.0,149,57,52,-5,C
Mikael Naslund,2310,4,1.0,149,55,51,-4,D
Rasmus Holving,2210,7,1.5,282,43,52,9,A
Rasmus Holving,2210,7,1.5,282,42,54,12,C
Rasmus Holving,2210,7,1.5,282,44,51,7,D
Lars Karlsson,2488,7,5,257,39,56,17,A
Lars Karlsson,2488,7,5,257,36,56,20,C
Lars Karlsson,2488,7,5,257,36,54,18,D
Jorgen Eriksson,2238,3,0,124,56,43,-13,A
Jorgen Eriksson,2238,3,0,124,56,42,-14,C
Jorgen Eriksson,2238,3,0,124,58,39,-19,D
Kaido Kulaots,2533,8,5.5,312,38,58,20,A
Kaido Kulaots,2533,8,5.5,312,36,60,24,C
Kaido Kulaots,2533,8,5.5,312,28,62,34,D
Joel Akesson,2344,7,2.5,216,48,52,4,A
Joel Akesson,2344,7,2.5,216,41,56,15,C
Joel Akesson,2344,7,2.5,216,40,57,17,D
Nils Grandelius,2371,8,5.0,244,43,53,10,A
Nils Grandelius,2371,8,5.0,244,37,52,15,C
Nils Grandelius,2371,8,5.0,244,34,53,19,D
Tiger Hillarp Persson,2535,9,5.0,314,49,45,-4,A
Tiger Hillarp Persson,2535,9,5.0,314,45,46,1,B
Tiger Hillarp Persson,2535,9,5.0,314,43,49,6,C
Tiger Hillarp Persson,2535,9,5.0,314,41,48,7,D
Sergey Ivanov,2541,10,7.5,363,46,48,2,A
Sergey Ivanov,2541,10,7.5,363,35,54,19,C
Sergey Ivanov,2541,10,7.5,363,34,55,21,D
Thomas Ernst,2448,9,5.0,268,41,54,13,A
Thomas Ernst,2448,9,5.0,268,44,54,10,D
Pontus Carlsson,2501,9,5.5,198,45,53,8,A
Pontus Carlsson,2501,9,5.5,198,37,54,17,D
Tomas Karlsson,2249,6,2.0,180,39,54,15,A
Tomas Karlsson,2249,6,2.0,180,39,56,17,C
Tomas Karlsson,2249,6,2.0,180,38,56,18,D
Sampsa Nyysti,2363,8,4.5,310,41,53,12,A
Sampsa Nyysti,2363,8,4.5,310,35,55,20,C
Sampsa Nyysti,2363,8,4.5,310,33,55,22,D
Olli Sisatto,2285,6,1.5,264,47,52,5,A
Olli Sisatto,2285,6,1.5,264,42,55,13,C
Olli Sisatto,2285,6,1.5,264,45,53,8,D
Juan Manuel Bellon Lopez,2455,9,5.0,319,41,58,17,A
Juan Manuel Bellon Lopez,2455,9,5.0,319,41,60,19,D
Erik Blomqvist,2302,8,4,175,67,49,-18,A
Erik Blomqvist,2302,8,4,175,56,53,-3,D
Fredrik Andersson,2229,6,1.5,106,82,44,-38,A
Fredrik Andersson,2229,6,1.5,106,86,41,-45,C
Fredrik Andersson,2229,6,1.5,106,76,42,-34,D
Johan Furhoff,2392,9,5.5,300,56,50,-6,A
Johan Furhoff,2392,9,5.5,300,51,54,3,C
Johan Furhoff,2392,9,5.5,300,52,53,1,D
Tomi Nyback,2579,9,6.5,235,36,60,24,A
Tomi Nyback,2579,9,6.5,235,27,61,34,C
Tomi Nyback,2579,9,6.5,235,26,61,35,D
Radoslaw Wojtaszek,2614,9,6.5,202,39,57,18,A
Radoslaw Wojtaszek,2614,9,6.5,202,31,59,28,C
Radoslaw Wojtaszek,2614,9,6.5,202,31,61,30,D
Ralf Akesson,2470,9,4.5,321,50,51,1,A
Ralf Akesson,2470,9,4.5,321,43,54,11,C
Ralf Akesson,2470,9,4.5,321,46,53,7,D
Ivan Farago,2475,9,6.0,343,32,54,22,A
Ivan Farago,2475,9,6.0,343,29,54,25,C
Ivan Farago,2475,9,6.0,343,28,55,27,D
Eva Jiretorn,2122,7,3.5,262,53,54,1,A
Eva Jiretorn,2122,7,3.5,262,45,53,8,C
Eva Jiretorn,2122,7,3.5,262,49,53,4,D
